ensembl_gene_id chromosome_name start_position end_position
58 ENSG00000036549 1 77562416 77683419
59 ENSG00000037637 1 16246840 16352480
60 ENSG00000040487 1 19312326 19329300
61 ENSG00000041988 1 6624868 6635586
62 ENSG00000042781 1 215622891 216423448
63 ENSG00000043514 1 39838110 39883511
64 ENSG00000044012 1 42153410 42155820
65 ENSG00000047410 1 186311652 186375693
66 ENSG00000048707 1 12230030 12512047
67 ENSG00000049089 1 40300489 40317813
68 ENSG00000049239 1 9234774 9271337
69 ENSG00000049245 1 7771296 7781432
70 ENSG00000049246 1 7784291 7845177
71 ENSG00000049247 1 7843083 7853512
72 ENSG00000049249 1 7915871 7943165
73 ENSG00000049323 2 32946953 33399509
74 ENSG00000050628 1 70852353 71047816
75 ENSG00000052723 1 114769479 114780685
76 ENSG00000053371 1 19303965 19312144
77 ENSG00000053372 1 19251805 19260128
78 ENSG00000054116 1 36136570 36156053
79 ENSG00000054118 1 36224432 36305357
80 ENSG00000054267 1 235131634 235328219
81 ENSG00000054277 1 241590102 241677376
82 ENSG00000054282 1 243256034 243500091
83 ENSG00000054392 1 210328252 210676296
84 ENSG00000054523 1 10210570 10381603
85 ENSG00000055070 1 16352575 16398145
86 ENSG00000055332 2 37099210 37157522
87 ENSG00000055732 1 85018082 85048500
88 ENSG00000055813 2 56183990 56386172
89 ENSG00000055917 2 20248691 20352234
90 ENSG00000057252 1 179293714 179358680
91 ENSG00000057468 1 75796882 75913242
92 ENSG00000057757 1 23778418 23788232
93 ENSG00000057935 2 42494569 42756947
94 ENSG00000058085 1 183186238 183245127
95 ENSG00000058453 1 16740273 16972964
96 ENSG00000058668 1 203626787 203744081
97 ENSG00000058673 1 203795623 203854999
98 ENSG00000058799 1 53851719 53889798
99 ENSG00000058804 1 53765478 53838463
100 ENSG00000059588 1 234391313 234479179
101 ENSG00000060642 1 26787054 26800659
102 ENSG00000060656 1 29236516 29326813
103 ENSG00000060688 1 31259568 31296788
104 ENSG00000060718 1 102876467 103108872
105 ENSG00000064703 1 111754832 111775602
106 ENSG00000064886 1 111200771 111243440
107 ENSG00000065135 1 109548615 109600195
108 ENSG00000065183 1 117929720 117966543
109 ENSG00000065243 1 88684222 88836255
110 ENSG00000065526 1 15836095 15940456
111 ENSG00000065600 1 212363928 212414901
112 ENSG00000065978 1 42682418 42703805
113 ENSG00000066027 1 212285410 212361853
114 ENSG00000066056 1 43300982 43323108
115 ENSG00000066135 1 43650149 43705518
116 ENSG00000066136 1 40691648 40771603
117 ENSG00000066185 1 42430329 42456253
118 ENSG00000066279 1 197084121 197146694
119 ENSG00000066294 1 160541095 160579516
120 ENSG00000066322 1 43363398 43368074
121 ENSG00000066557 1 70144805 70205579
122 ENSG00000067208 1 92508696 92792404
123 ENSG00000067334 1 93866284 93879918
124 ENSG00000067533 1 218285293 218337983
125 ENSG00000067606 1 2050411 2185395
126 ENSG00000067704 1 220094132 220148041
127 ENSG00000068697 2 20032650 20051628
128 ENSG00000068724 2 46916157 47076137
129 ENSG00000068781 2 48529925 48776517
130 ENSG00000068784 2 45388680 45612165
131 ENSG00000068878 2 53864069 53970993
132 ENSG00000068912 2 53787009 53833038
133 ENSG00000069248 1 229440259 229508341
134 ENSG00000069275 1 205712822 205750182
135 ENSG00000069424 1 5990927 6101193
136 ENSG00000069702 1 91680343 91906335
137 ENSG00000069812 1 6412418 6424670
138 ENSG00000070759 1 45343883 45491163
139 ENSG00000070785 1 44850522 44986722
140 ENSG00000070831 1 22052627 22101360
141 ENSG00000070886 1 22563489 22603595
142 ENSG00000071575 2 12716910 12742734
143 ENSG00000072694 1 161663143 161678654
144 ENSG00000073754 1 157830911 157898256
145 ENSG00000073756 1 186671791 186680922
146 ENSG00000074800 1 8861000 8879190
147 ENSG00000074964 1 17539698 17697874
148 ENSG00000075151 1 20806292 21177285
149 ENSG00000075391 1 178094104 178484147
150 ENSG00000075426 2 28392448 28417317
151 ENSG00000075945 1 169921326 170085208
152 ENSG00000076258 1 171314183 171342084
153 ENSG00000076321 1 173714941 173786692
154 ENSG00000076356 1 208022242 208244384
155 ENSG00000076864 1 21596221 21669357
156 ENSG00000077152 1 202331657 202341980
157 ENSG00000077157 1 202348699 202592706
158 ENSG00000077254 1 77695987 77759852
159 ENSG00000077522 1 236664141 236764631
160 ENSG00000077549 1 19338775 19485539
161 ENSG00000077585 1 236142505 236221865
162 ENSG00000078369 1 1785285 1891117
163 ENSG00000078618 1 51789191 51878805
164 ENSG00000078808 1 1216909 1232067
165 ENSG00000078900 1 3652516 3736201
166 ENSG00000079277 1 46557407 46616843
167 ENSG00000079335 1 100345001 100520277
168 ENSG00000079739 1 63593411 63660245
169 ENSG00000079785 2 15591178 15634346
170 ENSG00000080910 1 196943738 196959622
171 ENSG00000080947 1 16467436 16499257
172 ENSG00000081019 1 113761832 113812476
173 ENSG00000081026 1 113390515 113685923
174 ENSG00000081237 1 198638457 198757476
175 ENSG00000081248 1 201039512 201112451
176 ENSG00000081277 1 201283452 201332993
177 ENSG00000081692 1 227730425 227735411
178 ENSG00000081721 1 161749758 161757238
179 ENSG00000081870 1 53916574 53945699
180 ENSG00000081985 1 67307364 67398724
181 ENSG00000082482 1 215005775 215237090
182 ENSG00000082497 1 210232796 210246631
183 ENSG00000082512 1 211326615 211374946
184 ENSG00000082898 2 61476032 61538741
185 ENSG00000083444 1 11934205 11975538
186 ENSG00000084070 1 40344850 40423326
187 ENSG00000084072 1 39692182 39763914
188 ENSG00000084073 1 40258041 40294180
189 ENSG00000084623 1 32221077 32245397
190 ENSG00000084628 1 31179745 31239887
191 ENSG00000084636 1 31652263 31704319
192 ENSG00000084652 1 32179675 32198285
193 ENSG00000084674 2 21001429 21044073
194 ENSG00000084676 2 24491254 24770702
195 ENSG00000084693 2 27042364 27070622
196 ENSG00000084710 2 25042076 25159135
197 ENSG00000084731 2 25926598 25982749
198 ENSG00000084733 2 26034084 26137454
199 ENSG00000084734 2 27496839 27523684
200 ENSG00000084754 2 26190635 26244672
201 ENSG00000084764 2 26970637 27027219
202 ENSG00000084774 2 27217369 27243943
203 ENSG00000085433 1 108970214 109042113
204 ENSG00000085465 1 111414319 111427735
205 ENSG00000085491 1 108134043 108200849
206 ENSG00000085552 1 159927039 159945613
207 ENSG00000085760 2 55236595 55269347
208 ENSG00000085831 1 51287258 51345116
209 ENSG00000085832 1 51354263 51519266
210 ENSG00000085840 1 52372829 52404423
211 ENSG00000085998 1 46188683 46220305
212 ENSG00000085999 1 46246461 46278480
213 ENSG00000086015 1 45786987 46036122
214 ENSG00000086619 1 236214681 236282019
215 ENSG00000088035 1 63367575 63438553
216 ENSG00000088280 1 23428563 23484568
217 ENSG00000090020 1 27098809 27166981
218 ENSG00000090104 1 192575763 192580024
219 ENSG00000090273 1 26900238 26946871
220 ENSG00000090432 1 20499448 20508151
221 ENSG00000090621 1 39560709 39576790
222 ENSG00000090686 1 21678298 21783606
223 ENSG00000091106 2 32224453 32265732
224 ENSG00000091483 1 241497511 241519799
225 ENSG00000092607 1 118883046 118989556
226 ENSG00000092621 1 119648411 119744218
227 ENSG00000092847 1 35869808 35930532
228 ENSG00000092850 1 36084094 36088275
229 ENSG00000092853 1 35720218 35769978
230 ENSG00000092969 1 218345336 218444619
231 ENSG00000092978 1 217426992 217631090
232 ENSG00000094963 1 171185249 171212686
233 ENSG00000094975 1 172532349 172611833
234 ENSG00000095002 2 47403067 47663146
235 ENSG00000097021 1 6264269 6393767
236 ENSG00000097033 1 86704570 86748184
237 ENSG00000097046 1 91500851 91525764
238 ENSG00000097096 1 85156889 85201724
239 ENSG00000099260 1 99646113 99694541
240 ENSG00000107404 1 1335276 1349418
241 ENSG00000115128 2 24067586 24076373
242 ENSG00000115129 2 24077433 24085861
243 ENSG00000115137 2 24943636 24972094
244 ENSG00000115138 2 25160853 25168903
245 ENSG00000115155 2 26457203 26558756
246 ENSG00000115163 2 26764289 26801067
247 ENSG00000115194 2 27253684 27275817
248 ENSG00000115204 2 27309492 27325680
249 ENSG00000115207 2 27325849 27356999
250 ENSG00000115211 2 27364352 27370338
251 ENSG00000115216 2 27427790 27442259
252 ENSG00000115226 2 27491883 27495200
253 ENSG00000115234 2 27370496 27377535
254 ENSG00000115239 2 53532672 53860160
255 ENSG00000115241 2 27381195 27409591
256 ENSG00000115295 2 29097705 29199777
257 ENSG00000115306 2 54456317 54671446
258 ENSG00000115310 2 54972187 55112621
259 ENSG00000115355 2 55287842 55419895
260 ENSG00000115380 2 55865967 55924139
261 ENSG00000115392 2 58159243 58241410
262 ENSG00000115421 2 60756253 60802086
263 ENSG00000115464 2 61187463 61471087
264 ENSG00000115484 2 61868085 61888671
265 ENSG00000115705 2 1374066 1543711
266 ENSG00000115738 2 8678845 8684461
267 ENSG00000115750 2 9843443 9934416
268 ENSG00000115756 2 10302889 10427617
269 ENSG00000115758 2 10439968 10448327
270 ENSG00000115760 2 32357023 32618878
271 ENSG00000115761 2 10562347 10689987
272 ENSG00000115808 2 36837698 36966536
273 ENSG00000115816 2 37201612 37231596
274 ENSG00000115825 2 37250502 37324833
275 ENSG00000115828 2 37342827 37373322
276 ENSG00000115841 2 37923187 38067142
277 ENSG00000115875 2 38743599 38751494
278 ENSG00000115884 2 20200797 20225433
279 ENSG00000115904 2 38962206 39124345
280 ENSG00000115944 2 42333546 42425088
281 ENSG00000115970 2 43230851 43596038
282 ENSG00000116016 2 46293667 46386697
283 ENSG00000116062 2 47695530 47810063
284 ENSG00000116128 1 147541501 147626216
285 ENSG00000116132 1 170662728 170739421
286 ENSG00000116133 1 54849627 54887195
287 ENSG00000116138 1 15526813 15592379
288 ENSG00000116141 1 220528136 220664461
289 ENSG00000116147 1 175315194 175743616
290 ENSG00000116151 1 2321253 2391707
291 ENSG00000116157 1 52602371 52609051
292 ENSG00000116161 1 174999163 175012027
293 ENSG00000116171 1 52927276 53051698
294 ENSG00000116183 1 176463171 176845601
295 ENSG00000116191 1 178725165 178921842
296 ENSG00000116194 1 178849535 178871077
297 ENSG00000116198 1 3812086 3857396
298 ENSG00000116199 1 179025804 179076567
299 ENSG00000116205 1 54053584 54112519
300 ENSG00000116209 1 54026681 54053504
301 ENSG00000116212 1 53946085 53968168
302 ENSG00000116213 1 3630767 3652761
303 ENSG00000116218 1 179550539 179575952
304 ENSG00000116221 1 54184041 54225464
305 ENSG00000116237 1 6221193 6235972
306 ENSG00000116251 1 6185020 6209389
307 ENSG00000116254 1 6101787 6180321
308 ENSG00000116260 1 180154869 180204030
309 ENSG00000116266 1 108746674 108809523
310 ENSG00000116273 1 6613731 6624030
311 ENSG00000116285 1 8004404 8026309
312 ENSG00000116288 1 7954291 7985505
313 ENSG00000116299 1 109113679 109206781
314 ENSG00000116329 1 28812170 28871267
315 ENSG00000116337 1 109616104 109632051
316 ENSG00000116350 1 29147743 29181900
317 ENSG00000116353 1 29192657 29230942
318 ENSG00000116396 1 110210314 110283100
319 ENSG00000116406 1 184690237 184754907
320 ENSG00000116455 1 111439890 111449256
321 ENSG00000116459 1 111448864 111462773
322 ENSG00000116473 1 111542218 111716691
323 ENSG00000116478 1 32292083 32333635
324 ENSG00000116489 1 112619805 112671616
325 ENSG00000116497 1 32816767 32858875
326 ENSG00000116514 1 32936445 32964809
327 ENSG00000116521 1 155255979 155262430
328 ENSG00000116525 1 33145399 33182059
329 ENSG00000116539 1 155335268 155563162
330 ENSG00000116544 1 34865436 34929650
331 ENSG00000116560 1 35176378 35193446
332 ENSG00000116574 1 228735479 228746664
333 ENSG00000116580 1 155749659 155859400
334 ENSG00000116584 1 155946851 156007070
335 ENSG00000116586 1 156054782 156058506
336 ENSG00000116604 1 156463727 156500779
337 ENSG00000116641 1 62454298 62688386
338 ENSG00000116649 1 11054584 11060020
339 ENSG00000116652 1 63547082 63550636
340 ENSG00000116661 1 11637018 11655785
341 ENSG00000116663 1 11664200 11674354
342 ENSG00000116667 1 184387029 184629019
343 ENSG00000116668 1 185157080 185291781
344 ENSG00000116670 1 11674480 11691650
345 ENSG00000116675 1 65248219 65415871
346 ENSG00000116678 1 65420652 65641559
347 ENSG00000116679 1 185296388 185317273
348 ENSG00000116685 1 11919591 11926428
349 ENSG00000116688 1 11980181 12015211
350 ENSG00000116690 1 186296279 186314567
351 ENSG00000116691 1 12019466 12032045
352 ENSG00000116698 1 183472216 183598246
353 ENSG00000116701 1 183555562 183590876
354 ENSG00000116703 1 186443566 186461114
355 ENSG00000116704 1 66999350 67054148
356 ENSG00000116711 1 186828949 186988981
357 ENSG00000116717 1 67685201 67688334
358 ENSG00000116721 1 12791397 12796628
359 ENSG00000116726 1 12773738 12777906
360 ENSG00000116729 1 68098473 68233120
361 ENSG00000116731 1 13700188 13825079
362 ENSG00000116741 1 192809039 192812275
363 ENSG00000116745 1 68428822 68449954
364 ENSG00000116747 1 193059454 193091777
365 ENSG00000116748 1 114673090 114695618
366 ENSG00000116750 1 193012250 193060080
367 ENSG00000116752 1 114567557 114581629
368 ENSG00000116754 1 70205682 70253052
369 ENSG00000116761 1 70411218 70439851
370 ENSG00000116771 1 15571699 15585051
371 ENSG00000116774 1 113979391 114035572
372 ENSG00000116783 1 74235387 74544428
373 ENSG00000116785 1 196774813 196795407
374 ENSG00000116786 1 15684320 15734769
375 ENSG00000116791 1 74705482 74733408
376 ENSG00000116793 1 113696831 113759489
377 ENSG00000116809 1 15941869 15976132
378 ENSG00000116815 1 116514534 116571039
379 ENSG00000116819 1 35573314 35595328
380 ENSG00000116824 1 116754430 116769229
381 ENSG00000116830 1 117060326 117107453
382 ENSG00000116833 1 200027614 200177420
383 ENSG00000116852 1 200969390 201023714
384 ENSG00000116857 1 201134772 201171574
385 ENSG00000116863 1 36088892 36093932
386 ENSG00000116871 1 36155579 36180849
387 ENSG00000116874 1 119031216 119140654
388 ENSG00000116882 1 119368779 119394130
389 ENSG00000116885 1 36415827 36450451
390 ENSG00000116898 1 36455718 36464384
391 ENSG00000116903 1 231332753 231337852
392 ENSG00000116906 1 231241207 231277973
393 ENSG00000116918 1 231528541 231566524
394 ENSG00000116922 1 37681570 37692249
395 ENSG00000116954 1 38838198 38859772
396 ENSG00000116962 1 235975830 236065109
397 ENSG00000116977 1 236518000 236552981
398 ENSG00000116981 1 39651229 39672107
399 ENSG00000116983 1 39678648 39691485
400 ENSG00000116984 1 236795260 236921278
401 ENSG00000116985 1 39757182 39788865
402 ENSG00000116990 1 39895426 39902256
403 ENSG00000116991 1 232397965 232630571
404 ENSG00000117000 1 40161387 40240921
405 ENSG00000117009 1 241532134 241595642
406 ENSG00000117010 1 40531573 40548167
407 ENSG00000117013 1 40783787 40840452
408 ENSG00000117016 1 40620680 40665682
409 ENSG00000117020 1 243488233 243851079
410 ENSG00000117036 1 157121191 157138474
411 ENSG00000117054 1 75724431 75787575
412 ENSG00000117069 1 76867480 77067546
413 ENSG00000117090 1 160608106 160647044
414 ENSG00000117091 1 160678746 160711831
415 ENSG00000117114 1 81306147 81993932
416 ENSG00000117115 1 17066761 17119451
417 ENSG00000117118 1 17018722 17054032
418 ENSG00000117122 1 16974502 16980632
419 ENSG00000117133 1 84479259 84498352
420 ENSG00000117139 1 202724495 202808487
421 ENSG00000117143 1 162561722 162601240
422 ENSG00000117148 1 17755333 17827063
423 ENSG00000117151 1 84549611 84574480
424 ENSG00000117152 1 163068775 163076802
425 ENSG00000117153 1 202891116 202928636
426 ENSG00000117154 1 18107798 18378483
427 ENSG00000117155 1 84643706 84690803
428 ENSG00000117174 1 85649417 85708433
429 ENSG00000117215 1 20111939 20119566
430 ENSG00000117222 1 205086142 205122015
431 ENSG00000117226 1 89006679 89022894
432 ENSG00000117228 1 89051882 89065360
433 ENSG00000117242 1 20642657 20652193
434 ENSG00000117245 1 20664014 20718017
435 ENSG00000117262 1 145607988 145670650
436 ENSG00000117266 1 205504596 205532793
437 ENSG00000117280 1 205767986 205775482
438 ENSG00000117281 1 145719471 145739288
439 ENSG00000117298 1 21217247 21345572
440 ENSG00000117305 1 23801885 23838620
441 ENSG00000117308 1 23795599 23800781
442 ENSG00000117318 1 23557926 23559501
443 ENSG00000117322 1 207454230 207489895
444 ENSG00000117335 1 207752037 207795513
445 ENSG00000117360 1 150321479 150353233
446 ENSG00000117362 1 150265399 150269580
447 ENSG00000117385 1 42746335 42767084
448 ENSG00000117394 1 42925353 42958893
449 ENSG00000117395 1 43164175 43270936
450 ENSG00000117399 1 43358981 43363203
451 ENSG00000117400 1 43337818 43354466
452 ENSG00000117407 1 43933320 43937240
453 ENSG00000117408 1 43946950 43968022
454 ENSG00000117410 1 43974487 43978295
455 ENSG00000117411 1 43978943 43991170
456 ENSG00000117419 1 44221070 44355260
457 ENSG00000117425 1 44819844 44843253
458 ENSG00000117448 1 45550543 45570049
459 ENSG00000117450 1 45510914 45542732
460 ENSG00000117461 1 46040140 46133036
461 ENSG00000117472 1 46175073 46185962
462 ENSG00000117475 1 169367970 169396540
463 ENSG00000117477 1 169394870 169460669
464 ENSG00000117479 1 169463909 169485944
465 ENSG00000117480 1 46394317 46413848
466 ENSG00000117481 1 46340789 46365152
467 ENSG00000117500 1 93149742 93180516
468 ENSG00000117501 1 170935526 171064765
469 ENSG00000117505 1 93345907 93369493
470 ENSG00000117507 1 171137740 171161568
471 ENSG00000117519 1 94896949 94927223
472 ENSG00000117523 1 171485530 171593511
473 ENSG00000117525 1 94529173 94541759
474 ENSG00000117528 1 94418389 94518666
475 ENSG00000117533 1 171700160 171742074
476 ENSG00000117543 1 100989623 101026088
477 ENSG00000117560 1 172659103 172666876
478 ENSG00000117569 1 96721665 96823738
479 ENSG00000117586 1 173183731 173207331
480 ENSG00000117592 1 173477330 173488815
481 ENSG00000117593 1 173824653 173858808
482 ENSG00000117594 1 209686178 209734949
483 ENSG00000117595 1 209785617 209806175
484 ENSG00000117597 1 209827972 209857565
485 ENSG00000117598 1 98890245 99227929
486 ENSG00000117600 1 99264292 99309590
487 ENSG00000117601 1 173903800 173917327
488 ENSG00000117602 1 24502351 24541040
489 ENSG00000117614 1 25222276 25232502
490 ENSG00000117616 1 25242249 25338213
491 ENSG00000117620 1 99969351 100035634
492 ENSG00000117625 1 211258377 211316385
493 ENSG00000117632 1 25884181 25906991
494 ENSG00000117640 1 25818640 25832942
495 ENSG00000117643 1 25616791 25786206
496 ENSG00000117650 1 211658657 211675630
497 ENSG00000117676 1 26529761 26575030
498 ENSG00000117682 1 26432282 26471306
499 ENSG00000117691 1 212432920 212446379
500 ENSG00000117697 1 212726153 212791782
501 ENSG00000117707 1 213983181 214041510
502 ENSG00000117713 1 26693236 26782104
503 ENSG00000117724 1 214603195 214664571
504 ENSG00000117748 1 27891524 27914746
505 ENSG00000117751 1 27830782 27851676
506 ENSG00000117758 1 27773219 27824443
507 ENSG00000117791 1 220748225 220784815
508 ENSG00000117834 1 48222685 48248644
509 ENSG00000117859 1 51577179 51798427
510 ENSG00000117862 1 52020131 52055191
511 ENSG00000118004 2 3594832 3644644
512 ENSG00000118193 1 200551497 200620751
513 ENSG00000118194 1 201359008 201377764
514 ENSG00000118197 1 200623896 200669907
515 ENSG00000118200 1 200738893 200860704
516 ENSG00000118217 1 161766298 161977574
517 ENSG00000118292 1 150268200 150280916
518 ENSG00000118298 1 150257251 150265078
519 ENSG00000118454 1 70258999 70354734
520 ENSG00000118473 1 66533267 66751139
521 ENSG00000118655 1 113905213 113914086
522 ENSG00000118729 1 115700021 115768714
523 ENSG00000118733 1 101802560 101996926
524 ENSG00000118873 1 220148293 220272529
525 ENSG00000118960 2 20560448 20651130
526 ENSG00000118961 2 20684014 20823130
527 ENSG00000118965 2 19910263 19990105
528 ENSG00000119185 2 9403475 9423528
529 ENSG00000119203 2 9423651 9473101
530 ENSG00000119280 1 230837119 230869589
531 ENSG00000119283 1 231162058 231221565
532 ENSG00000119285 1 236549005 236604516
533 ENSG00000119535 1 36466043 36483278
534 ENSG00000119729 2 46541806 46584688
535 ENSG00000119737 2 53852912 53859967
536 ENSG00000119760 2 27650809 27663840
537 ENSG00000119771 2 23385179 23708611
538 ENSG00000119772 2 25227855 25342590
539 ENSG00000119777 2 27032910 27041694
540 ENSG00000119778 2 23748664 23927123
541 ENSG00000119782 2 24049701 24063681
542 ENSG00000119787 2 38293954 38377285
543 ENSG00000119801 2 30146941 30160533
544 ENSG00000119812 2 33532744 33599347
545 ENSG00000119820 2 32277904 32316594
546 ENSG00000119866 2 60450520 60554467
547 ENSG00000119878 2 46616416 46630176
548 ENSG00000119888 2 47345158 47387601
549 ENSG00000120332 1 175067833 175148075
550 ENSG00000120333 1 175010789 175023425
551 ENSG00000120334 1 173799550 173824883
552 ENSG00000120337 1 173039202 173050941
553 ENSG00000120341 1 177923956 177984303
554 ENSG00000120370 1 170531819 170553834
555 ENSG00000120656 1 28587829 28648291
556 ENSG00000120937 1 11857464 11858945
557 ENSG00000120942 1 11273198 11296049
558 ENSG00000120948 1 11012344 11030528
559 ENSG00000120949 1 12063303 12144207
560 ENSG00000120952 1 12857086 12861909
561 ENSG00000121310 1 52895910 52927212
562 ENSG00000121446 1 182409192 182560599
563 ENSG00000121454 1 180230264 180278984
564 ENSG00000121481 1 185045526 185102603
565 ENSG00000121486 1 185118101 185157072
566 ENSG00000121644 1 244653103 244709033
567 ENSG00000121753 1 31727117 31764893
568 ENSG00000121764 1 31617686 31632518
569 ENSG00000121766 1 31296982 31364953
570 ENSG00000121769 1 31365253 31376850
571 ENSG00000121774 1 32013868 32060850
572 ENSG00000121775 1 32072031 32102866
573 ENSG00000121851 1 145964690 145978848
574 ENSG00000121900 1 32894594 32901438
575 ENSG00000121903 1 33472645 33501643
576 ENSG00000121904 1 33513998 34165842
577 ENSG00000121905 1 32885994 32898441
578 ENSG00000121931 1 110947190 110963965
579 ENSG00000121933 1 111483348 111563962
580 ENSG00000121940 1 108881885 108963527
581 ENSG00000121957 1 108875350 108934545
582 ENSG00000122176 1 203340628 203351758
583 ENSG00000122180 1 203083129 203086012
584 ENSG00000122188 1 203765177 203776372
585 ENSG00000122218 1 160288594 160343566
586 ENSG00000122223 1 160830160 160862887
587 ENSG00000122224 1 160796074 160828261
588 ENSG00000122406 1 92832013 92841924
589 ENSG00000122417 1 86346824 86396342
590 ENSG00000122420 1 78303884 78540701
591 ENSG00000122432 1 84506300 84566194
592 ENSG00000122435 1 100133150 100150496
593 ENSG00000122477 1 100148448 100178273
594 ENSG00000122481 1 95234210 95247225
595 ENSG00000122482 1 90915298 91022272
596 ENSG00000122483 1 93179919 93278730
597 ENSG00000122484 1 92299059 92402056
598 ENSG00000123080 1 50960745 50974634
599 ENSG00000123091 1 51236273 51273447
600 ENSG00000123472 1 46632737 46673867
601 ENSG00000123473 1 47250139 47314892
602 ENSG00000123684 1 211743457 211830763
603 ENSG00000123685 1 212686417 212699840
604 ENSG00000123689 1 209675412 209676390
605 ENSG00000123836 1 207034366 207081024
606 ENSG00000123838 1 207104233 207144972
607 ENSG00000123843 1 207088860 207099993
608 ENSG00000125459 1 155610205 155614951
609 ENSG00000125462 1 156404250 156456763
610 ENSG00000125703 1 62784132 62865516
611 ENSG00000125944 1 23303771 23344336
612 ENSG00000125945 1 23359448 23369836
613 ENSG00000126067 1 35599541 35641526
614 ENSG00000126070 1 35930718 36072500
615 ENSG00000126088 1 45010950 45015575
616 ENSG00000126091 1 43705824 43931165
617 ENSG00000126106 1 44635238 44674481
618 ENSG00000126107 1 45002540 45011324
619 ENSG00000126698 1 28199456 28233029
620 ENSG00000126705 1 27534035 27604431
621 ENSG00000126709 1 27666064 27672212
622 ENSG00000127054 1 1311585 1324687
623 ENSG00000127074 1 192636138 192660311
624 ENSG00000127124 1 41506365 42035925
625 ENSG00000127125 1 42456117 42473385
626 ENSG00000127129 1 41478775 41484683
627 ENSG00000127423 1 25831913 25859458
628 ENSG00000127463 1 19215660 19251552
629 ENSG00000127472 1 20028179 20091911
630 ENSG00000127481 1 19074510 19210266
631 ENSG00000127483 1 20740266 20787323
632 ENSG00000127603 1 39081316 39487177
633 ENSG00000130508 2 1631887 1744852
634 ENSG00000130695 1 26234200 26278808
635 ENSG00000130762 1 3454665 3481113
636 ENSG00000130764 1 3778559 3796498
637 ENSG00000130766 1 28259518 28282491
638 ENSG00000130768 1 27935000 27959157
639 ENSG00000130770 1 28236109 28246906
640 ENSG00000130772 1 28329002 28335965
641 ENSG00000130775 1 27872543 27886685
642 ENSG00000130939 1 10032832 10181239
643 ENSG00000130940 1 10636604 10796650
644 ENSG00000131233 1 38874069 38881587
645 ENSG00000131236 1 40040233 40072649
646 ENSG00000131238 1 40072710 40097260
647 ENSG00000131584 1 1292390 1309609
648 ENSG00000131591 1 1081818 1116361
649 ENSG00000131686 1 8945867 8975092
650 ENSG00000131697 1 5862811 5992473
651 ENSG00000131778 1 147242654 147295765
652 ENSG00000131779 1 145911350 145918717
653 ENSG00000131781 1 147175351 147243050
654 ENSG00000131788 1 145848522 145859836
655 ENSG00000131791 1 147155106 147172550
656 ENSG00000131910 1 26911489 26913975
657 ENSG00000131914 1 26410817 26429728
658 ENSG00000132031 2 19992052 20012668
659 ENSG00000132122 1 48295373 48472208
660 ENSG00000132128 1 46261196 46303616
661 ENSG00000132185 1 161706972 161714352
662 ENSG00000132196 1 162790702 162812823
663 ENSG00000132485 1 71063291 71081289
664 ENSG00000132676 1 155687960 155739010
